Attributes,Date,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Day
Symbols,,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,GOOG,GOOGL,SPY,^TWII,MSFT,AMZN,TSLA,FB,NVDA,2330.TW,
0,2017-01-03,786.1400146484375,808.010009765625,205.50909423828125,9272.873046875,58.065460205078125,753.6699829101562,43.39799880981445,116.86000061035156,25.16645050048828,154.94537353515625,786.1400146484375,808.010009765625,225.24000549316406,9272.8798828125,62.58000183105469,753.6699829101562,43.39799880981445,116.86000061035156,25.502500534057617,183.0,789.6300048828125,811.4400024414062,225.8300018310547,9273.650390625,62.84000015258789,758.760009765625,44.066001892089844,117.83999633789062,26.592500686645508,183.5,775.7999877929688,796.8900146484375,223.8800048828125,9235.9501953125,62.130001068115234,747.7000122070312,42.19200134277344,115.51000213623047,24.844999313354492,181.0,778.8099975585938,800.6199951171875,225.0399932861328,9252.5595703125,62.790000915527344,757.9199829101562,42.97200012207031,116.02999877929688,26.100000381469727,181.5,1657300.0,1959000.0,91366500.0,1186600.0,20694100.0,3521100.0,29616500.0,20663900.0,150199600.0,22630000.0,Tuesday
1,2017-01-04,786.9000244140625,807.77001953125,206.731689453125,9286.953125,57.8056526184082,757.1799926757812,45.39799880981445,118.69000244140625,25.75360679626465,154.94537353515625,786.9000244140625,807.77001953125,226.5800018310547,9286.9599609375,62.29999923706055,757.1799926757812,45.39799880981445,118.69000244140625,26.09749984741211,183.0,791.3400268554688,813.4299926757812,226.75,9299.6201171875,62.75,759.6799926757812,45.599998474121094,119.66000366210938,26.375,184.0,783.1599731445312,804.1099853515625,225.61000061035156,9266.0302734375,62.119998931884766,754.2000122070312,42.86199951171875,117.29000091552734,25.38249969482422,181.5,788.3599853515625,809.8900146484375,225.6199951171875,9279.51953125,62.47999954223633,758.3900146484375,42.95000076293945,117.55000305175781,25.850000381469727,183.0,1073000.0,1515300.0,78744400.0,1322300.0,21340000.0,2510500.0,56067500.0,19630900.0,119922000.0,24369000.0,Wednesday
2,2017-01-05,794.02001953125,813.02001953125,206.5674591064453,9358.1328125,57.8056526184082,780.4500122070312,45.349998474121094,120.66999816894531,25.099838256835938,155.36871337890625,794.02001953125,813.02001953125,226.39999389648438,9358.1396484375,62.29999923706055,780.4500122070312,45.349998474121094,120.66999816894531,25.434999465942383,183.5,794.47998046875,813.739990234375,226.5800018310547,9358.419921875,62.65999984741211,782.4000244140625,45.49599838256836,120.94999694824219,26.454999923706055,183.5,785.02001953125,805.9199829101562,225.47999572753906,9282.4501953125,62.029998779296875,760.260009765625,44.38999938964844,118.31999969482422,25.262500762939453,181.5,786.0800170898438,807.5,226.27000427246094,9282.5595703125,62.189998626708984,761.5499877929688,45.284000396728516,118.86000061035156,26.13249969482422,182.0,1335200.0,1340500.0,78379000.0,1859300.0,24876000.0,5830100.0,29558500.0,19492200.0,98429600.0,20979000.0,Thursday
3,2017-01-06,806.1500244140625,825.2100219726562,207.30653381347656,9372.212890625,58.30669403076172,795.989990234375,45.801998138427734,123.41000366210938,25.435354232788086,155.79205322265625,806.1500244140625,825.2100219726562,227.2100067138672,9372.2197265625,62.84000015258789,795.989990234375,45.801998138427734,123.41000366210938,25.774999618530273,184.0,807.9000244140625,828.9600219726562,227.75,9381.1103515625,63.150001525878906,799.4400024414062,46.0620002746582,123.87999725341797,26.0625,184.5,792.2039794921875,811.5,225.89999389648438,9351.25,62.040000915527344,778.47998046875,45.09000015258789,120.02999877929688,25.299999237060547,183.5,795.260009765625,814.989990234375,226.52999877929688,9371.41015625,62.29999923706055,782.3599853515625,45.38600158691406,120.9800033569336,25.712499618530273,184.0,1640200.0,2017100.0,71559900.0,1743800.0,19922900.0,5986200.0,27639500.0,28545300.0,82285600.0,22443000.0,Friday
4,2017-01-09,806.6500244140625,827.1799926757812,206.62220764160156,9342.4130859375,58.121131896972656,796.9199829101562,46.25600051879883,124.9000015258789,26.46658706665039,155.79205322265625,806.6500244140625,827.1799926757812,226.4600067138672,9342.419921875,62.63999938964844,796.9199829101562,46.25600051879883,124.9000015258789,26.81999969482422,184.0,809.9660034179688,830.4299926757812,227.07000732421875,9404.900390625,63.08000183105469,801.77001953125,46.38399887084961,125.43000030517578,27.0,185.0,802.8300170898438,821.6199951171875,226.4199981689453,9328.1904296875,62.540000915527344,791.77001953125,45.599998474121094,123.04000091552734,25.875,183.0,806.4000244140625,826.3699951171875,226.91000366210938,9376.48046875,62.7599983215332,798.0,45.79399871826172,123.55000305175781,25.875,184.0,1274600.0,1408900.0,46939700.0,1708500.0,20382700.0,3446100.0,19897500.0,22880400.0,91624800.0,18569000.0,Monday
5,2017-01-10,804.7899780273438,826.010009765625,206.62220764160156,9349.6328125,58.102569580078125,795.9000244140625,45.9739990234375,124.3499984741211,26.266759872436523,155.79205322265625,804.7899780273438,826.010009765625,226.4600067138672,9349.6396484375,62.619998931884766,795.9000244140625,45.9739990234375,124.3499984741211,26.61750030517578,184.0,809.1300048828125,829.4099731445312,227.4499969482422,9353.599609375,63.06999969482422,798.0,46.400001525878906,125.5,27.297500610351562,185.5,803.510009765625,823.1400146484375,226.00999450683594,9319.4501953125,62.279998779296875,789.5399780273438,45.37799835205078,124.27999877929688,26.407499313354492,183.5,807.8599853515625,827.0700073242188,226.47999572753906,9344.1904296875,62.72999954223633,796.5999755859375,46.400001525878906,124.81999969482422,26.952499389648438,184.5,1176800.0,1197400.0,63771900.0,1514800.0,18593000.0,2558400.0,18300000.0,17324600.0,88092000.0,20198000.0,Tuesday
6,2017-01-11,807.9099731445312,829.8599853515625,207.20616149902344,9345.7333984375,58.63144302368164,799.02001953125,45.94599914550781,126.08999633789062,25.943572998046875,154.09866333007812,807.9099731445312,829.8599853515625,227.10000610351562,9345.740234375,63.189998626708984,799.02001953125,45.94599914550781,126.08999633789062,26.290000915527344,182.0,808.1500244140625,829.9000244140625,227.10000610351562,9384.0,63.22999954223633,799.5,45.99599838256836,126.12000274658203,26.549999237060547,185.0,801.3699951171875,821.469970703125,225.58999633789062,9333.490234375,62.43000030517578,789.510009765625,45.33599853515625,124.05999755859375,26.037500381469727,181.5,805.0,826.6199951171875,226.36000061035156,9370.169921875,62.61000061035156,793.6599731445312,45.81399917602539,124.3499984741211,26.5,185.0,1065900.0,1325400.0,74650000.0,1801200.0,21517300.0,2992800.0,18254000.0,18356500.0,52566400.0,29107000.0,Wednesday
7,2017-01-12,806.3599853515625,829.530029296875,206.6860809326172,9410.1728515625,58.093292236328125,813.6400146484375,45.917999267578125,126.62000274658203,25.519237518310547,156.21539306640625,806.3599853515625,829.530029296875,226.52999877929688,9410.1796875,62.61000061035156,813.6400146484375,45.917999267578125,126.62000274658203,25.860000610351562,184.5,807.3900146484375,830.3800048828125,226.75,9430.580078125,63.400001525878906,814.1300048828125,46.13999938964844,126.7300033569336,26.174999237060547,185.5,799.1699829101562,821.010009765625,224.9600067138672,9356.1201171875,61.95000076293945,799.5,45.11600112915039,124.80000305175781,25.405000686645508,182.5,807.1400146484375,828.3800048828125,226.5,9356.1201171875,63.060001373291016,800.3099975585938,45.8120002746582,125.61000061035156,26.0575008392334,182.5,1353100.0,1349500.0,72113200.0,1919300.0,20968200.0,4873900.0,18951000.0,18653900.0,62561600.0,41130000.0,Thursday
8,2017-01-13,807.8800048828125,830.9400024414062,207.16055297851562,9378.8232421875,58.176795959472656,817.1400146484375,47.54999923706055,128.33999633789062,25.516775131225586,153.67530822753906,807.8800048828125,830.9400024414062,227.0500030517578,9378.830078125,62.70000076293945,817.1400146484375,47.54999923706055,128.33999633789062,25.857500076293945,181.5,811.2239990234375,834.6500244140625,227.39999389648438,9387.6796875,62.869998931884766,821.6500244140625,47.56999969482422,129.27000427246094,26.25,182.5,806.6900024414062,829.52001953125,226.69000244140625,9352.080078125,62.349998474121094,811.4000244140625,45.917999267578125,127.37000274658203,25.764999389648438,180.5,807.47998046875,831.0,226.72999572753906,9373.7001953125,62.619998931884766,814.3200073242188,46.0,127.48999786376953,25.899999618530273,180.5,1099200.0,1290200.0,62717900.0,1560100.0,19422300.0,3791900.0,30465000.0,24884300.0,45782000.0,52352000.0,Friday
